mins,type,detail,player,teamName,id_match
7,Goal,Own Goal,G. Hanley,Liverpool,157015
19,Goal,Normal Goal,Mohamed Salah,Liverpool,157015
28,Goal,Normal Goal,V. van Dijk,Liverpool,157015
42,Goal,Normal Goal,D. Origi,Liverpool,157015
64,Goal,Normal Goal,T. Pukki,Norwich,157015
25,Goal,Normal Goal,Gabriel Jesus,Manchester City,157016
51,Goal,Normal Goal,R. Sterling,Manchester City,157016
75,Goal,Normal Goal,R. Sterling,Manchester City,157016
86,Goal,Penalty,S. Agüero,Manchester City,157016
90,Goal,Normal Goal,R. Sterling,Manchester City,157016
62,Goal,Normal Goal,C. Mepham,Bournemouth,157017
88,Goal,Normal Goal,B. Sharp,Sheffield Utd,157017
63,Goal,Normal Goal,A. Barnes,Burnley,157018
70,Goal,Normal Goal,A. Barnes,Burnley,157018
75,Goal,Normal Goal,J. Guðmunds­son,Burnley,157018
28,Goal,Own Goal,A. Doucouré,Brighton,157021
65,Goal,Normal Goal,F. Andone,Brighton,157021
77,Goal,Normal Goal,N. Maupay,Brighton,157021
9,Goal,Normal Goal,J.  McGinn,Aston Villa,157022
73,Goal,Normal Goal,T. Ndombèlé,Tottenham,157022
86,Goal,Normal Goal,H. Kane,Tottenham,157022
90,Goal,Normal Goal,H. Kane,Tottenham,157022
58,Goal,Normal Goal,P. Aubameyang,Arsenal,157023
18,Goal,Penalty,M. Rashford,Manchester United,157024
65,Goal,Normal Goal,A. Martial,Manchester United,157024
67,Goal,Normal Goal,M. Rashford,Manchester United,157024
81,Goal,Normal Goal,D. James,Manchester United,157024
13,Goal,Normal Goal,A. Lacazette,Arsenal,157025
43,Goal,Normal Goal,A. Barnes,Burnley,157025
64,Goal,Normal Goal,P. Aubameyang,Arsenal,157025
2,Goal,Penalty,J. King,Bournemouth,157026
12,Goal,Normal Goal,H. Wilson,Bournemouth,157026
71,Goal,Normal Goal,Douglas Luiz,Aston Villa,157026
61,Goal,Normal Goal,J. Hernández,West Ham,157027
65,Goal,Normal Goal,L. Trossard,Brighton,157027
10,Goal,Normal Goal,Bernard,Everton,157029
32,Goal,Normal Goal,T. Pukki,Norwich,157031
63,Goal,Normal Goal,T. Pukki,Norwich,157031
75,Goal,Normal Goal,T. Pukki,Norwich,157031
90,Goal,Normal Goal,J. Shelvey,Newcastle,157031
45,Goal,Normal Goal,S. Mané,Liverpool,157033
71,Goal,Normal Goal,Roberto Firmino,Liverpool,157033
83,Goal,Normal Goal,D. Ings,Southampton,157033
20,Goal,Normal Goal,R. Sterling,Manchester City,157030
23,Goal,Normal Goal,E. Lamela,Tottenham,157030
35,Goal,Normal Goal,S. Agüero,Manchester City,157030
56,Goal,Normal Goal,Lucas Moura,Tottenham,157030
47,Goal,Normal Goal,J. Lundstram,Sheffield Utd,157032
7,Goal,Normal Goal,M. Mount,Chelsea,157028
67,Goal,Normal Goal,W. Ndidi,Leicester,157028
27,Goal,Normal Goal,A. Martial,Manchester United,157034
55,Goal,Normal Goal,Rúben Neves,Wolves,157034
21,Goal,Normal Goal,Wesley,Aston Villa,157036
90,Goal,Normal Goal,A. El Ghazi,Aston Villa,157036
3,Goal,Normal Goal,T. Abraham,Chelsea,157040
6,Goal,Normal Goal,T. Cantwell,Norwich,157040
17,Goal,Normal Goal,M. Mount,Chelsea,157040
30,Goal,Normal Goal,T. Pukki,Norwich,157040
68,Goal,Normal Goal,T. Abraham,Chelsea,157040
55,Goal,Normal Goal,M. Djenepo,Southampton,157037
90,Goal,Normal Goal,N. Redmond,Southampton,157037
32,Goal,Normal Goal,J. Ayew,Crystal Palace,157039
89,Goal,Normal Goal,D. James,Manchester United,157039
90,Goal,Normal Goal,P. van Aanholt,Crystal Palace,157039
38,Goal,Normal Goal,J. Vardy,Leicester,157041
62,Goal,Normal Goal,O. McBurnie,Sheffield Utd,157041
70,Goal,Normal Goal,H. Barnes,Leicester,157041
3,Goal,Penalty,M. Noble,West Ham,157043
17,Goal,Normal Goal,A. Gray,Watford,157043
64,Goal,Normal Goal,S. Haller,West Ham,157043
73,Goal,Normal Goal,S. Haller,West Ham,157043
41,Goal,Normal Goal,J. Matip,Liverpool,157038
49,Goal,Penalty,Mohamed Salah,Liverpool,157038
58,Goal,Normal Goal,Mohamed Salah,Liverpool,157038
85,Goal,Normal Goal,L. Torreira,Arsenal,157038
15,Goal,Normal Goal,S. Agüero,Manchester City,157035
43,Goal,Normal Goal,R. Sterling,Manchester City,157035
45,Goal,Normal Goal,H. Wilson,Bournemouth,157035
64,Goal,Normal Goal,S. Agüero,Manchester City,157035
27,Goal,Normal Goal,Joelinton,Newcastle,157042
13,Goal,Normal Goal,A. Barnes,Burnley,157044
90,Goal,Penalty,R. Jiménez,Wolves,157044
10,Goal,Normal Goal,D. James,Manchester United,157053
58,Goal,Normal Goal,J. Vestergaard,Southampton,157053
19,Goal,Normal Goal,T. Abraham,Chelsea,157047
43,Goal,Normal Goal,T. Abraham,Chelsea,157047
46,Goal,Normal Goal,C. Robinson,Sheffield Utd,157047
89,Goal,Own Goal,K. Zouma,Sheffield Utd,157047
73,Goal,Normal Goal,J. Ayew,Crystal Palace,157048
12,Goal,Normal Goal,J. Vardy,Leicester,157050
15,Goal,Normal Goal,C. Wilson,Bournemouth,157050
41,Goal,Normal Goal,Y. Tielemans,Leicester,157050
73,Goal,Normal Goal,J. Vardy,Leicester,157050
2,Goal,Normal Goal,K. De Bruyne,Manchester City,157051
42,Goal,Normal Goal,S. Agüero,Manchester City,157051
55,Goal,Normal Goal,S. Agüero,Manchester City,157051
79,Goal,Normal Goal,Bernardo Silva,Manchester City,157051
2,Goal,Normal Goal,W. Hughes,Watford,157052
41,Goal,Normal Goal,F. Schär,Newcastle,157052
24,Goal,Normal Goal,S. Haller,West Ham,157054
56,Goal,Normal Goal,A. Yarmolenko,West Ham,157054
33,Goal,Own Goal,C. Wood,Liverpool,157046
37,Goal,Normal Goal,S. Mané,Liverpool,157046
80,Goal,Normal Goal,Roberto Firmino,Liverpool,157046
5,Goal,Normal Goal,Richarlison,Everton,157049
9,Goal,Normal Goal,R. Saïss,Wolves,157049
12,Goal,Normal Goal,A. Iwobi,Everton,157049
75,Goal,Normal Goal,R. Jiménez,Wolves,157049
80,Goal,Normal Goal,Richarlison,Everton,157049
10,Goal,Normal Goal,C. Eriksen,Tottenham,157045
40,Goal,Penalty,H. Kane,Tottenham,157045
45,Goal,Normal Goal,A. Lacazette,Arsenal,157045
71,Goal,Normal Goal,P. Aubameyang,Arsenal,157045
7,Goal,Normal Goal,J. Willems,Newcastle,157058
28,Goal,Normal Goal,S. Mané,Liverpool,157058
40,Goal,Normal Goal,S. Mané,Liverpool,157058
72,Goal,Normal Goal,Mohamed Salah,Liverpool,157058
51,Goal,Normal Goal,N. Maupay,Brighton,157057
90,Goal,Normal Goal,J. Hendrick,Burnley,157057
8,Goal,Penalty,M. Rashford,Manchester United,157059
66,Goal,Normal Goal,M. Djenepo,Southampton,157061
10,Goal,Normal Goal,Son Heung-Min,Tottenham,157062
21,Goal,Own Goal,P. van Aanholt,Tottenham,157062
23,Goal,Normal Goal,Son Heung-Min,Tottenham,157062
42,Goal,Normal Goal,E. Lamela,Tottenham,157062
31,Goal,Normal Goal,F. Tomori,Chelsea,157064
34,Goal,Normal Goal,T. Abraham,Chelsea,157064
41,Goal,Normal Goal,T. Abraham,Chelsea,157064
55,Goal,Normal Goal,T. Abraham,Chelsea,157064
69,Goal,Own Goal,T. Abraham,Wolves,157064
85,Goal,Normal Goal,P. Cutrone,Wolves,157064
90,Goal,Normal Goal,M. Mount,Chelsea,157064
18,Goal,Normal Goal,K. McLean,Norwich,157060
28,Goal,Normal Goal,T. Cantwell,Norwich,157060
45,Goal,Normal Goal,S. Agüero,Manchester City,157060
50,Goal,Normal Goal,T. Pukki,Norwich,157060
88,Goal,Normal Goal,Rodri,Manchester City,157060
23,Goal,Normal Goal,C. Wilson,Bournemouth,157055
44,Goal,Normal Goal,D. Calvert-Lewin,Everton,157055
67,Goal,Normal Goal,R. Fraser,Bournemouth,157055
72,Goal,Normal Goal,C. Wilson,Bournemouth,157055
21,Goal,Normal Goal,P. Aubameyang,Arsenal,157063
32,Goal,Normal Goal,P. Aubameyang,Arsenal,157063
53,Goal,Normal Goal,T. Cleverley,Watford,157063
81,Goal,Penalty,R. Pereyra,Watford,157063
10,Goal,Normal Goal,N. Aké,Bournemouth,157073
35,Goal,Normal Goal,H. Wilson,Bournemouth,157073
53,Goal,Penalty,J. Ward-Prowse,Southampton,157073
90,Goal,Normal Goal,C. Wilson,Bournemouth,157073
29,Goal,Normal Goal,H. Kane,Tottenham,157070
69,Goal,Normal Goal,Ricardo Pereira,Leicester,157070
85,Goal,Normal Goal,J. Maddison,Leicester,157070
10,Goal,Normal Goal,C. Wood,Burnley,157066
14,Goal,Normal Goal,C. Wood,Burnley,157066
40,Goal,Own Goal,Y. Mina,Sheffield Utd,157069
79,Goal,Normal Goal,L. Mousset,Sheffield Utd,157069
1,Goal,Normal Goal,David Silva,Manchester City,157071
7,Goal,Penalty,S. Agüero,Manchester City,157071
12,Goal,Normal Goal,R. Mahrez,Manchester City,157071
15,Goal,Normal Goal,Bernardo Silva,Manchester City,157071
18,Goal,Normal Goal,N. Otamendi,Manchester City,157071
48,Goal,Normal Goal,Bernardo Silva,Manchester City,157071
60,Goal,Normal Goal,Bernardo Silva,Manchester City,157071
85,Goal,Normal Goal,K. De Bruyne,Manchester City,157071
46,Goal,Own Goal,L. Dendoncker,Crystal Palace,157068
90,Goal,Normal Goal,Diogo Jota,Wolves,157068
44,Goal,Normal Goal,A. Yarmolenko,West Ham,157074
84,Goal,Normal Goal,A. Cresswell,West Ham,157074
20,Goal,Normal Goal,J.  McGinn,Aston Villa,157065
59,Goal,Penalty,N. Pépé,Arsenal,157065
60,Goal,Normal Goal,Wesley,Aston Villa,157065
81,Goal,Normal Goal,C. Chambers,Arsenal,157065
84,Goal,Normal Goal,P. Aubameyang,Arsenal,157065
