id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
157015.0,40.0,Liverpool,71.0,Norwich,4-0,4-1,3.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
157016.0,48.0,West Ham,50.0,Manchester City,0-1,0-5,-3.0,-2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2019
157017.0,35.0,Bournemouth,62.0,Sheffield Utd,0-0,1-1,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2019
157018.0,44.0,Burnley,41.0,Southampton,0-0,3-0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2019
157019.0,52.0,Crystal Palace,45.0,Everton,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
157021.0,38.0,Watford,51.0,Brighton,0-1,0-3,-2.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2019
157022.0,47.0,Tottenham,66.0,Aston Villa,0-1,3-1,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2019
157020.0,46.0,Leicester,39.0,Wolves,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
157023.0,34.0,Newcastle,42.0,Arsenal,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
157024.0,33.0,Manchester United,49.0,Chelsea,1-0,4-0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2019
157025.0,42.0,Arsenal,44.0,Burnley,1-1,2-1,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
157026.0,66.0,Aston Villa,35.0,Bournemouth,0-2,1-2,-1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
157027.0,51.0,Brighton,48.0,West Ham,0-0,1-1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2019
157029.0,45.0,Everton,38.0,Watford,1-0,1-0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
157031.0,71.0,Norwich,34.0,Newcastle,1-0,3-1,3.0,-1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2019
157033.0,41.0,Southampton,40.0,Liverpool,0-1,1-2,-2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2019
157030.0,50.0,Manchester City,47.0,Tottenham,2-1,2-2,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
157032.0,62.0,Sheffield Utd,52.0,Crystal Palace,0-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
157028.0,49.0,Chelsea,46.0,Leicester,1-0,1-1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
157034.0,39.0,Wolves,33.0,Manchester United,0-1,1-1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
157036.0,66.0,Aston Villa,45.0,Everton,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2019
157040.0,71.0,Norwich,49.0,Chelsea,2-2,2-3,-1.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
157037.0,51.0,Brighton,41.0,Southampton,0-0,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2019
